therapy_code,therapy_title,therapy_concept_id,component_code,component_title,component_concept_id
blinatumomab,Blinatumomab,,blinatumomab,Blinatumomab,35802927
bortezomib,Bortezomib (Velcade) Monotherapy,,bortezomib_(velcade),Bortezomib (Velcade),
bortezomib_(velcade)_maintenance,Bortezomib (Velcade) maintenance,,bortezomib_(velcade),Bortezomib (Velcade),
br,R-Bendamustine (BR),,bendamustine,Bendamustine,35802918
br,R-Bendamustine (BR),,chemoimmunotherapy_regimen,Chemoimmunotherapy Regimen,
br,R-Bendamustine (BR),,rituximab,Rituximab,35803296
brexu_cel,Brexu-cel (Tecartus) Monotherapy,,brexucabtagene_autoleucel,Brexucabtagene autoleucel,905596
bupropion,Bupropion (Wellbutrin) - antidepressant,,bupropion,Bupropion,750982
capecitabine,Capecitabine,1901062062,capecitabine,Capecitabine,35802939
capivasertib,Capivasertib,,capivasertib,Capivasertib,35802856
capivasertib_fulvestrant,Capivasertib + Fulvestrant,,capivasertib,Capivasertib,35802856
capivasertib_fulvestrant,Capivasertib + Fulvestrant,,fulvestrant,Fulvestrant,35803089
carbamazepine,Carbamazepine (Tegretol) - anticonvulsant,,carbamazepine,Carbamazepine,740275
carboplatin,Carboplatin,,carboplatin,Carboplatin,35802941
carfilzomib,Carfilzomib (Kyprolis) Monotherapy,,carfilzomib,Carfilzomib,35802942
cataflam,Cataflam,,diclofenac_potassium,Diclofenac Potassium,
chlorambucil_obinutuzumab,Chlorambucil + Obinutuzumab,,chemoimmunotherapy_regimen,Chemoimmunotherapy Regimen,
chlorambucil_obinutuzumab,Chlorambucil + Obinutuzumab,,chlorambucil,Chlorambucil,35802953
chlorambucil_obinutuzumab,Chlorambucil + Obinutuzumab,,obinutuzumab,Obinutuzumab,35803211
chop,CHOP,35803699,cyclophosphamide,Cyclophosphamide,35802975
chop,CHOP,35803699,doxorubicin,Doxorubicin,35803022
chop,CHOP,35803699,prednisone,Prednisone,35803268
chop,CHOP,35803699,vincristine,Vincristine,35803385
chronic_opioid_therapy,Chronic Opioid Therapy,,analgesic_opioid_agent,Analgesic Opioid Agent,
cilta_cel,Cilta-cel (Carvykti) Monotherapy,,ciltacabtagene_autoleucel,Ciltacabtagene autoleucel,1525037
ciprofloxacin,Ciprofloxacin (Cipro) - antibiotic,,ciprofloxacin,Ciprofloxacin,35802957
cisplatin,Cisplatin,,cisplatin,Cisplatin,35802958
clarithromycin,Clarithromycin (Biaxin) - antibiotic,,clarithromycin,Clarithromycin,35802961
clinical_trials,Clinical Trials,,investigational_agent,Investigational Agent,
contraceptives,Contraceptives (Estrogen-containing medication),,estrogen,Estrogen,
copanlisib,Copanlisib (Aliqopa) Monotherapy,,copanlisib,Copanlisib,35802968
cy_bor_d,CyBorD/VCD,,bortezomib_(velcade),Bortezomib (Velcade),
cy_bor_d,CyBorD/VCD,,cyclophosphamide,Cyclophosphamide,35802975
cy_bor_d,CyBorD/VCD,,dexamethasone,Dexamethasone,35803008
cy_bor_d,CyBorD/VCD,,vcd_triplet,VCD triplet,
cyclophosphamide,Cyclophosphamide Monotherapy,35803690,cyclophosphamide,Cyclophosphamide,35802975
dara_kd,Dara-Kd,911994,bortezomib_(velcade),Bortezomib (Velcade),
dara_kd,Dara-Kd,911994,carfilzomib,Carfilzomib,35802942
dara_kd,Dara-Kd,911994,daratumumab,Daratumumab,35802992
dara_kd,Dara-Kd,911994,dexamethasone,Dexamethasone,35803008
dara_pd,Dara-Pd,35806326,daratumumab,Daratumumab,35802992
dara_pd,Dara-Pd,35806326,dexamethasone,Dexamethasone,35803008
dara_pd,Dara-Pd,35806326,pomalidomide,Pomalidomide,35803260
dara_rd,Dara-Rd,35806311,dara_rd_triplet,Dara-Rd triplet,
dara_rd,Dara-Rd,35806311,daratumumab,Daratumumab,35802992
dara_rd,Dara-Rd,35806311,dexamethasone,Dexamethasone,35803008
dara_rd,Dara-Rd,35806311,lenalidomide,Lenalidomide (Revlimid),
dara_vmp,Dara-VMP,35806282,bortezomib_(velcade),Bortezomib (Velcade),
dara_vmp,Dara-VMP,35806282,chemoimmunotherapy_regimen,Chemoimmunotherapy Regimen,
dara_vmp,Dara-VMP,35806282,dara_vmp quadruplet,Dara-VMP quadruplet,
dara_vmp,Dara-VMP,35806282,daratumumab,Daratumumab,35802992
dara_vmp,Dara-VMP,35806282,melphalan,Melphalan,35803175
dara_vmp,Dara-VMP,35806282,prednisone,Prednisone,35803268
dara_vrd,Dara-VRd,,bortezomib_(velcade),Bortezomib (Velcade),
dara_vrd,Dara-VRd,,dara_vrd_quadruplet,Dara-VRd quadruplet,
dara_vrd,Dara-VRd,,daratumumab,Daratumumab,35802992
dara_vrd,Dara-VRd,,dexamethasone,Dexamethasone,35803008
dara_vrd,Dara-VRd,,lenalidomide,Lenalidomide (Revlimid),
daratumumab,Daratumumab (Darzalex/Darzalex Faspro) Monotherapy,,daratumumab,Daratumumab,35802992
dcybord,DCyBorD,,bortezomib_(velcade),Bortezomib (Velcade),
dcybord,DCyBorD,,chemoimmunotherapy_regimen,Chemoimmunotherapy Regimen,
dcybord,DCyBorD,,cyclophosphamide,Cyclophosphamide,35802975
dcybord,DCyBorD,,daratumumab,Daratumumab,35802992
dcybord,DCyBorD,,dexamethasone,Dexamethasone,35803008
denosumab,Denosumab (Xgeva),,denosumab,Denosumab,35803006
docetaxel,Docetaxel,1957313443,docetaxel,Docetaxel,35803016
duvelisib,Duvelisib (Copiktra) Monotherapy,,duvelisib,Duvelisib,35803027
elacestrant,Elacestrant,,elacestrant,Elacestrant,1524876
elotuzumab,Elotuzumab (Empliciti) Monotherapy,,elotuzumab,Elotuzumab,35803031
elranatamab_elrexfio,Elranatamab (Elrexfio),,elranatamab,Elranatamab,37557431
entecavir,Entecavir,,entecavir,Entecavir,1711246
entrectinib,Entrectinib,,entrectinib,Entrectinib,35803040
epd,EPd (EloPd),,dexamethasone,Dexamethasone,35803008
epd,EPd (EloPd),,elotuzumab,Elotuzumab,35803031
epd,EPd (EloPd),,pomalidomide,Pomalidomide,35803260
eribulin,Eribulin,1926925205,eribulin,Eribulin,35803049
erythromycin,Erythromycin - antibiotic,,erythromycin,Erythromycin,37557308
esa,Erythropoiesis-Stimulating Agent (ESA),,growth_factor,Growth Factor,
exemestane,Exemestane,,exemestane,Exemestane,35803055
exemestane_everolimus,Exemestane + Everolimus,,everolimus,Everolimus,35803054
exemestane_everolimus,Exemestane + Everolimus,,exemestane,Exemestane,35803055
exemestane_maintenance,Exemestane Maintenance,,exemestane,Exemestane,35803055
fc,FC,,cyclophosphamide,Cyclophosphamide,35802975
fc,FC,,fludarabine,Fludarabine,35803076
fcr,FCR / R-FC,,chemoimmunotherapy_regimen,Chemoimmunotherapy Regimen,
fcr,FCR / R-FC,,cyclophosphamide,Cyclophosphamide,35802975
fcr,FCR / R-FC,,fludarabine,Fludarabine,35803076
fcr,FCR / R-FC,,rituximab,Rituximab,35803296
fluconazole,Fluconazole (Diflucan) - antifungal,,fluconazole,Fluconazole,35803075
fludarabine_monotherapy,Fludarabine (Monotherapy),,fludarabine,Fludarabine,35803076
fluoxetine,Fluoxetine (Prozac) - antidepressant,,fluoxetine,Fluoxetine,755695
fluvoxamine,Fluvoxamine (Luvox) - antidepressant,,fluvoxamine,Fluvoxamine,751412
fulvestrant,Fulvestrant (Faslodex),,fulvestrant,Fulvestrant,35803089
g_csf,Granulocyte-Colony Stimulating factor (G-CSF),,growth_factor,Growth Factor,
gemcitabine,Gemcitabine,,gemcitabine,Gemcitabine,35803095
genomic_testing,Genomic Testing,,genomic_testing,Genomic Testing,
glofitamab,Glofitamab,,glofitamab,Glofitamab,37557120
gm_csf,Granulocyte–Macrophage Colony-Stimulating Factor (GM-CSF),,growth_factor,Growth Factor,
grapefruit_juice,Grapefruit juice,,grapefruit-juice,Grapefruit juice,43533099
heparin_anticoagulant,heparin - anticoagulant,,heparin,Heparin,1367571
herbal_supplements,"Herbal supplements (e.g., echinacea, ginseng, ginkgo biloba, high-dose turmeric)",,herbal_supplement,Herbal Supplement,
high_risk-smoldering_mm_treatment,High-Risk Smoldering MM Treatment,,high_risk-smoldering_mm_treatment,High-Risk Smoldering MM Treatment,
hiv_antiretroviral_therapy,HIV antiretroviral therapy,,hiv_antiretroviral,HIV Antiretroviral,
hrt,HRT (Estrogen-containing medication),,estrogen,Estrogen,
ibritumomab_tiuxetan_radioimmunotherapy,Ibritumomab tiuxetan radioimmunotherapy,,ibritumomab_tiuxetan,Ibritumomab tiuxetan,35803112
ibrutinib_imbruvica_monotherapy,Ibrutinib (Imbruvica) Monotherapy,,ibrutinib,Ibrutinib,35803113
ibrutinib_obinutuzumab,Ibrutinib+Obinutuzumab,,ibrutinib,Ibrutinib,35803113
ibrutinib_obinutuzumab,Ibrutinib+Obinutuzumab,,obinutuzumab,Obinutuzumab,35803211
ibrutinib_rituximab,Ibrutinib+Rituximab,,ibrutinib,Ibrutinib,35803113
ibrutinib_rituximab,Ibrutinib+Rituximab,,rituximab,Rituximab,35803296
ide_cel,Ide-cel (Abecma) Monotherapy,,idecabtagene_vicleucel,Idecabtagene vicleucel,35101749
idelalisib,Idelalisib (Zydelig) Monotherapy,,idelalisib,Idelalisib,35803117
ifrt_isrt,Involved-Field/Site-Radiotherapy (IFRT/ISRT),,involved_field_radiotherapy_(ifrt),Involved Field Radiotherapy (IFRT),
immunosuppressant,Immunosuppressant,,immunosuppressant,Immunosuppressant,
induction_therapy,Induction Therapy,,induction_therapy,Induction Therapy,
inhaled_corticosteroids,Inhaled corticosteroids,,inhaled_corticosteroid,Inhaled corticosteroid,
intranasal_corticosteroids,Intranasal corticosteroids,,intranasal_corticosteroid,Intranasal corticosteroid,
